Rank,Name,FirstYear,LastYear,Seasons,Games,PA,HR,RBI,Runs,Hits,OPS_plus,G,O,L,D,GOLD,Tier
142,Eugenio Velez,2007,2010,4,225,678,8,71,84,160,84.5,4.8,25.0,8.7,39.3,18.5,Bronze
143,Jose Pagan,1959,1965,7,655,2242,19,178,215,494,72.0,13.0,9.2,27.7,29.1,18.0,Bronze
144,Nick Hundley,2017,2018,2,197,608,19,66,61,138,90.8,4.3,37.2,4.4,21.4,17.6,Bronze
145,Kevin Pillar,2019,2019,1,156,628,21,87,82,157,94.3,4.9,44.9,1.4,11.2,17.5,Bronze
146,Greg Litton,1989,1992,4,291,672,10,71,51,141,82.3,4.0,22.4,10.8,35.2,17.2,Bronze
147,Johnnie LeMaster,1975,1985,11,986,3404,21,220,313,695,64.8,18.4,5.6,45.2,4.6,17.1,Bronze
148,Hobie Landrith,1959,1961,3,223,641,6,59,59,134,88.6,4.1,32.1,6.9,24.0,17.1,Bronze
149,Lance Niekro,2003,2007,4,195,535,17,79,61,123,87.4,4.2,29.1,7.7,27.6,17.0,Bronze
150,Deivi Cruz,2004,2005,2,208,652,12,74,72,172,91.5,4.7,39.8,4.8,13.3,17.0,Bronze
151,Jim Wohlford,1980,1982,3,238,569,4,56,58,129,88.9,3.7,32.7,7.4,22.4,16.9,Bronze
152,Joaquín Arias,2012,2015,4,361,843,7,72,70,208,84.7,4.8,25.5,13.1,23.5,16.4,Bronze
153,Hal Lanier,1964,1971,8,1101,3743,8,262,283,803,53.1,18.1,4.6,43.9,2.0,16.0,Bronze
154,Eddie Bressoud,1958,1961,4,345,1064,21,88,106,226,87.5,7.0,29.6,12.6,12.2,15.9,Bronze
155,Darren Lewis,1991,1995,5,496,2054,9,126,280,455,79.0,12.7,15.3,19.2,18.4,15.9,Bronze
156,Calvin Murray,1999,2002,4,240,627,8,52,90,132,84.0,4.3,24.0,9.1,26.0,15.5,Bronze
157,Madison Bumgarner,2009,2019,11,288,679,19,62,51,105,59.6,3.7,5.1,22.4,41.8,15.5,Bronze
158,Chuck Hiller,1961,1965,5,429,1651,13,111,198,354,73.8,9.8,9.7,17.0,30.1,15.3,Bronze
159,Joey Bart,2020,2023,4,162,503,11,38,59,100,83.4,3.1,23.5,6.6,29.6,15.2,Bronze
160,Steve Decker,1990,1996,4,166,506,9,45,35,99,76.9,2.8,10.7,6.7,47.4,14.9,Bronze
161,Héctor Sánchez,2011,2015,5,244,637,10,87,43,143,82.2,4.0,21.9,10.9,23.0,14.6,Bronze
162,Royce Clayton,1991,1995,5,506,1966,18,184,179,445,78.7,12.1,14.8,19.5,11.7,14.3,Bronze
163,Omar Vizquel,2005,2008,4,542,2185,11,177,232,510,77.3,13.7,12.2,19.0,12.8,14.1,Bronze
164,Don Blasingame,1960,1961,2,139,586,2,31,73,123,79.8,3.4,17.9,2.5,32.7,13.4,Bronze
165,A.J. Pierzynski,2004,2004,1,131,510,11,77,45,128,90.6,3.7,36.2,0.6,6.1,13.3,Bronze
166,Dave Martinez,1993,1994,2,188,528,9,54,51,116,88.5,3.6,31.1,4.1,10.2,13.3,Bronze
167,Mike Sadek,1973,1981,8,383,946,5,74,88,184,77.2,5.6,11.7,20.5,19.9,13.3,Bronze
168,Mike Benjamin,1989,1995,7,299,709,13,51,79,125,65.3,4.0,6.1,16.1,34.7,13.2,Bronze
169,Joey Amalfitano,1960,1963,3,269,947,4,57,122,213,82.1,5.8,20.9,8.4,17.3,13.2,Bronze
170,Emmanuel Burriss,2008,2012,5,281,801,1,42,87,175,66.7,4.1,6.6,12.2,33.2,12.3,Bronze
171,Marc Hill,1975,1980,6,431,1370,23,139,94,272,78.1,8.3,14.3,18.7,6.6,11.8,Bronze
172,Edgar Renteria,2009,2010,2,196,777,8,70,76,182,81.8,4.9,20.4,4.4,16.8,11.8,Bronze
173,Dave Roberts,1979,2008,3,192,578,2,32,79,127,82.1,3.8,21.4,5.9,15.1,11.8,Bronze
174,Brad Wellman,1982,1986,5,264,706,3,58,55,143,69.8,3.7,8.2,11.6,28.1,11.5,Bronze
175,Max Venable,1979,1983,5,302,679,7,48,72,135,78.0,4.0,13.8,12.8,15.8,11.1,Bronze
176,John Bowker,2008,2010,3,183,513,15,58,47,113,84.2,3.5,24.5,5.6,7.1,11.0,Bronze
177,Bob Melvin,1986,1988,3,265,842,24,83,78,173,80.2,5.4,18.4,8.3,10.7,10.9,Bronze
178,Jim Barr,1971,1983,10,421,601,1,31,28,83,36.0,2.0,3.6,25.1,15.1,9.7,Bronze
179,Kirk Rueter,1996,2005,10,277,618,0,33,41,86,29.6,2.1,2.6,20.4,20.7,9.6,Bronze
180,Juan Marichal,1960,1973,14,462,1341,4,75,73,202,24.9,4.8,2.0,33.1,3.6,9.4,Bronze
181,Eli Whiteside,2009,2012,4,199,525,10,42,51,102,77.9,3.1,13.3,7.8,14.3,9.3,Bronze
