Rank,Name,FirstYear,LastYear,Seasons,IP,Wins,Losses,Saves,SO,ERA_plus,G,O,L,D,GOLD,Tier
58,Russ Ortiz,1998,2007,6,971.8,69,47,0,739,103.0,29.6,50.0,29.0,51.9,40.1,Bronze
59,Don Robinson,1987,1991,5,693.7,42,33,14,400,102.8,19.8,49.4,20.8,67.7,38.4,Bronze
60,Tony Watson,2018,2021,4,162.1,11,9,2,147,119.4,5.3,79.1,7.2,58.2,38.4,Bronze
61,Ty Blach,2016,2019,4,304.5,15,19,0,161,103.2,7.6,51.9,10.2,88.6,37.6,Bronze
62,Jake Peavy,2014,2016,3,306.6,19,19,0,238,105.4,9.1,60.1,7.9,74.1,37.2,Bronze
63,Charlie Williams,1972,1978,7,482.3,18,16,4,204,105.3,11.1,58.9,20.9,58.9,36.9,Bronze
64,Lindy McDaniel,1966,1968,3,212.5,12,11,8,150,109.2,6.6,65.8,5.9,64.6,35.8,Bronze
65,Craig Lefferts,1987,1989,3,246.2,8,15,35,147,113.3,8.6,74.1,6.7,48.1,35.7,Bronze
66,Fred Breining,1980,1983,4,428.7,27,20,1,255,106.5,11.8,62.7,12.8,53.2,35.6,Bronze
67,Jean Machi,2012,2015,4,160.3,11,2,2,128,112.6,5.1,71.5,7.1,54.4,35.3,Bronze
68,Anthony DeSclafani,2021,2023,3,285.4,17,17,0,248,107.4,8.7,63.3,7.5,60.8,35.3,Bronze
69,Noah Lowry,2003,2007,5,617.4,40,31,0,420,106.5,17.7,62.0,19.2,36.7,35.1,Bronze
70,Jonathan Sánchez,2006,2011,6,707.3,38,46,0,736,100.0,22.7,40.5,23.4,57.0,35.0,Bronze
71,Jerome Williams,2003,2005,3,276.3,17,14,0,179,108.9,7.7,65.2,7.3,55.7,34.5,Bronze
72,Billy O'Dell,1960,1964,5,919.6,56,49,8,620,102.6,26.6,47.5,25.6,34.2,34.2,Bronze
73,Ron Bryant,1967,1974,7,907.4,57,55,1,502,99.0,24.5,34.8,30.0,51.3,34.0,Bronze
74,Billy Pierce,1962,1964,3,310.1,22,17,12,157,105.1,9.4,57.0,8.0,62.0,33.9,Bronze
